channel,tv,shape,shape_err,x,dx
1,0.000,1.01301,0.101301,-357.5,5.0
2,0.000,0.997576,0.0997576,-352.5,5.0
3,0.000,0.997145,0.0997145,-347.5,5.0
4,0.000,0.997206,0.0997206,-342.5,5.0
5,0.000,0.998461,0.0998461,-337.5,5.0
6,0.000,1.00441,0.100441,-332.5,5.0
7,0.000,0.99847,0.099847,-327.5,5.0
8,0.000,1.00268,0.100268,-322.5,5.0
9,0.000,1.00159,0.100159,-317.5,5.0
10,0.000,1.00386,0.100386,-312.5,5.0
11,0.000,0.996449,0.0996449,-307.5,5.0
12,0.000,1.00222,0.100222,-302.5,5.0
13,0.000,0.999643,0.0999643,-297.5,5.0
14,0.000,1.00245,0.100245,-292.5,5.0
15,0.000,1.00269,0.100269,-287.5,5.0
16,0.000,1.00224,0.100224,-282.5,5.0
17,0.000,0.99981,0.099981,-277.5,5.0
18,0.000,1.00311,0.100311,-272.5,5.0
19,0.000,1.00646,0.100646,-267.5,5.0
20,0.000,1.00471,0.100471,-262.5,5.0
21,0.000,1.00362,0.100362,-257.5,5.0
22,0.000,1.00227,0.100227,-252.5,5.0
23,0.000,1.00283,0.100283,-247.5,5.0
24,0.000,1.00239,0.100239,-242.5,5.0
25,0.000,0.997003,0.0997003,-237.5,5.0
26,0.000,1.00284,0.100284,-232.5,5.0
27,0.000,1.00496,0.100496,-227.5,5.0
28,0.000,1.00161,0.100161,-222.5,5.0
29,0.000,1.0023,0.10023,-217.5,5.0
30,0.000,1.00006,0.100006,-212.5,5.0
31,0.000,1.00238,0.100238,-207.5,5.0
32,0.000,1.00041,0.100041,-202.5,5.0
33,0.000,1.0019,0.10019,-197.5,5.0
34,0.000,1.00337,0.100337,-192.5,5.0
35,0.000,1.00305,0.100305,-187.5,5.0
36,0.000,1.00001,0.100001,-182.5,5.0
37,0.000,1.00617,0.100617,-177.5,5.0
38,0.000,1.00193,0.100193,-172.5,5.0
39,0.000,1.00948,0.100948,-167.5,5.0
40,0.000,1.00149,0.100149,-162.5,5.0
41,0.000,1.00344,0.100344,-157.5,5.0
42,0.000,0.998457,0.0998457,-152.5,5.0
43,0.000,1.0012,0.10012,-147.5,5.0
44,0.000,1.00255,0.100255,-142.5,5.0
45,0.000,1.00508,0.100508,-137.5,5.0
46,0.000,1.00352,0.100352,-132.5,5.0
47,0.000,0.997711,0.0997711,-127.5,5.0
48,0.000,0.999947,0.0999947,-122.5,5.0
49,0.000,0.997568,0.0997568,-117.5,5.0
50,0.000,1.00776,0.100776,-112.5,5.0
51,0.000,1.00215,0.100215,-107.5,5.0
52,0.000,1.00172,0.100172,-102.5,5.0
53,0.000,0.996888,0.0996888,-97.5,5.0
54,0.000,0.994582,0.0994582,-92.5,5.0
55,0.000,0.994578,0.0994578,-87.5,5.0
56,0.000,1.00023,0.100023,-82.5,5.0
57,0.000,0.994367,0.0994367,-77.5,5.0
58,0.000,1.00162,0.100162,-72.5,5.0
59,0.000,1.00335,0.100335,-67.5,5.0
60,0.000,0.990206,0.0990206,-62.5,5.0
61,0.000,1.00436,0.100436,-57.5,5.0
62,0.000,0.996381,0.0996381,-52.5,5.0
63,0.000,0.996103,0.0996103,-47.5,5.0
64,0.000,0.995955,0.0995955,-42.5,5.0
65,0.000,0.994796,0.0994796,-37.5,5.0
66,0.000,0.998083,0.0998083,-32.5,5.0
67,0.000,1.00164,0.100164,-27.5,5.0
68,0.000,0.999078,0.0999078,-22.5,5.0
69,0.000,0.990352,0.0990352,-17.5,5.0
70,0.000,0.992109,0.0992109,-12.5,5.0
71,0.000,0.992969,0.0992969,-7.5,5.0
72,0.000,1.01586,0.101586,-2.5,5.0
73,0.000,1.01664,0.101664,2.5,5.0
74,0.000,0.997776,0.0997776,7.5,5.0
75,0.000,0.991554,0.0991554,12.5,5.0
76,0.000,0.995056,0.0995056,17.5,5.0
77,0.000,0.996702,0.0996702,22.5,5.0
78,0.000,0.991967,0.0991967,27.5,5.0
79,0.000,0.989619,0.0989619,32.5,5.0
80,0.000,0.999224,0.0999224,37.5,5.0
81,0.000,0.991657,0.0991657,42.5,5.0
82,0.000,0.991205,0.0991205,47.5,5.0
83,0.000,0.997857,0.0997857,52.5,5.0
84,0.000,0.989437,0.0989437,57.5,5.0
85,0.000,0.991515,0.0991515,62.5,5.0
86,0.000,0.998932,0.0998932,67.5,5.0
87,0.000,0.998964,0.0998964,72.5,5.0
88,0.000,0.991449,0.0991449,77.5,5.0
89,0.000,0.995649,0.0995649,82.5,5.0
90,0.000,0.995325,0.0995325,87.5,5.0
91,0.000,1.00304,0.100304,92.5,5.0
92,0.000,0.995867,0.0995867,97.5,5.0
93,0.000,0.999155,0.0999155,102.5,5.0
94,0.000,1.00974,0.100974,107.5,5.0
95,0.000,0.99797,0.099797,112.5,5.0
96,0.000,0.999258,0.0999258,117.5,5.0
97,0.000,0.996009,0.0996009,122.5,5.0
98,0.000,0.996403,0.0996403,127.5,5.0
99,0.000,1.00139,0.100139,132.5,5.0
100,0.000,0.997587,0.0997587,137.5,5.0
101,0.000,0.996409,0.0996409,142.5,5.0
102,0.000,0.999105,0.0999105,147.5,5.0
103,0.000,0.992944,0.0992944,152.5,5.0
104,0.000,0.997243,0.0997243,157.5,5.0
105,0.000,0.994743,0.0994743,162.5,5.0
106,0.000,0.998654,0.0998654,167.5,5.0
107,0.000,1.00299,0.100299,172.5,5.0
108,0.000,0.997399,0.0997399,177.5,5.0
109,0.000,1.00637,0.100637,182.5,5.0
110,0.000,0.999495,0.0999495,187.5,5.0
111,0.000,1.0012,0.10012,192.5,5.0
112,0.000,1.00595,0.100595,197.5,5.0
113,0.000,0.998491,0.0998491,202.5,5.0
114,0.000,1.00357,0.100357,207.5,5.0
115,0.000,1.00173,0.100173,212.5,5.0
116,0.000,0.99894,0.099894,217.5,5.0
117,0.000,1.00954,0.100954,222.5,5.0
118,0.000,1.0029,0.10029,227.5,5.0
119,0.000,1.00029,0.100029,232.5,5.0
120,0.000,0.993702,0.0993702,237.5,5.0
121,0.000,0.996969,0.0996969,242.5,5.0
122,0.000,0.996819,0.0996819,247.5,5.0
123,0.000,1.00157,0.100157,252.5,5.0
124,0.000,1.00059,0.100059,257.5,5.0
125,0.000,1.00208,0.100208,262.5,5.0
126,0.000,1.00083,0.100083,267.5,5.0
127,0.000,0.99628,0.099628,272.5,5.0
128,0.000,1.00851,0.100851,277.5,5.0
129,0.000,0.999979,0.0999979,282.5,5.0
130,0.000,1.0008,0.10008,287.5,5.0
131,0.000,1.00962,0.100962,292.5,5.0
132,0.000,0.993752,0.0993752,297.5,5.0
133,0.000,1.0013,0.10013,302.5,5.0
134,0.000,1.00193,0.100193,307.5,5.0
135,0.000,0.998077,0.0998077,312.5,5.0
136,0.000,1.00228,0.100228,317.5,5.0
137,0.000,1.00293,0.100293,322.5,5.0
138,0.000,1.00043,0.100043,327.5,5.0
139,0.000,1.00309,0.100309,332.5,5.0
140,0.000,0.996142,0.0996142,337.5,5.0
141,0.000,0.995055,0.0995055,342.5,5.0
142,0.000,1.00276,0.100276,347.5,5.0
143,0.000,0.999698,0.0999698,352.5,5.0
144,0.000,1.00942,0.100942,357.5,5.0
10001,0.000,1.01526,0.101526,-357.5,5.0
10002,0.000,1.00253,0.100253,-352.5,5.0
10003,0.000,1.00254,0.100254,-347.5,5.0
10004,0.000,1.00168,0.100168,-342.5,5.0
10005,0.000,0.996973,0.0996973,-337.5,5.0
10006,0.000,0.996859,0.0996859,-332.5,5.0
10007,0.000,1.0013,0.10013,-327.5,5.0
10008,0.000,0.999516,0.0999516,-322.5,5.0
10009,0.000,1.00118,0.100118,-317.5,5.0
10010,0.000,1.00211,0.100211,-312.5,5.0
10011,0.000,1.00488,0.100488,-307.5,5.0
10012,0.000,1.00341,0.100341,-302.5,5.0
10013,0.000,1.00507,0.100507,-297.5,5.0
10014,0.000,1.00408,0.100408,-292.5,5.0
10015,0.000,0.995319,0.0995319,-287.5,5.0
10016,0.000,1.00623,0.100623,-282.5,5.0
10017,0.000,1.00456,0.100456,-277.5,5.0
10018,0.000,1.00031,0.100031,-272.5,5.0
10019,0.000,1.00263,0.100263,-267.5,5.0
10020,0.000,0.999997,0.0999997,-262.5,5.0
10021,0.000,1.0082,0.10082,-257.5,5.0
10022,0.000,1.00195,0.100195,-252.5,5.0
10023,0.000,1.00628,0.100628,-247.5,5.0
10024,0.000,1.00589,0.100589,-242.5,5.0
10025,0.000,1.00362,0.100362,-237.5,5.0
10026,0.000,1.00623,0.100623,-232.5,5.0
10027,0.000,1.00629,0.100629,-227.5,5.0
10028,0.000,1.00548,0.100548,-222.5,5.0
10029,0.000,1.0056,0.10056,-217.5,5.0
10030,0.000,0.997056,0.0997056,-212.5,5.0
10031,0.000,1.00622,0.100622,-207.5,5.0
10032,0.000,1.00285,0.100285,-202.5,5.0
